+/yYn89HLV	AWS config directory
C7DSObBfyT	Administrators may re-enable certain features not covered by the BAA from the admin console. If non-covered features are re-enabled, your organization is solely responsible for ensuring that use of those features complies with applicable legal obligations.
C94JQ00QFp	CEL condition
CAGgWm3Ni+	Remove "{name}" from your live artifacts? This will also revoke its share link. The HTML file will remain in your Documents/Claude/Artifacts folder.
CCUxBOb3va	Disable claude:// deep-link handling
CIQ+PQt0Gj	Failed to update managed environment visibility. You can try again.
CL+wlCY6he	Can my workspace admin help resolve this?
CLGAzTq1Mz	Tool policy for {name}
CLtEFnO361	{price} / mo
CMD3LZRbga	No checks reported yet
CME8RboXni	Learn how to install
CMWsmuOTxU	Upgrades are temporarily paused
CN/B/k3dCh	Connection lost
COXInF+iYH	We'll email you the outcome
CP8/J+x7OC	Get an email when a Claude Code security scan finishes.
CR09OGPdpk	Seats can be set up for usage credits once rate limits are hit. Usage credits are billed at API rates on an additional invoice. Admins can enable this and set spend limits in Settings. <link>Token pricing can be found here.</link>
CR13R/8+rv	Rule updated.
CSj5pLBh3f	Usage credits ({count})
CSrGfx9XpY	Failed to update source.
CUJthq8kug	My connector does not collect conversation data beyond what is needed for its function. (§1.D)
CUUkUwAi8M	Draft a message →
CUV9CxJHTh	Server reachable but rejected the unauthenticated handshake. Choose an OAuth mode above to sign in, or add an Authorization header.
CUo9b6y3JH	Enabling HIPAA compliance executes Anthropic's Business Associate Agreement (BAA) and configures this Claude Enterprise organization to handle Protected Health Information (PHI) within the Eligible Services the BAA covers.
CVncDlL5pt	{id} (deleted)
CWInmiTUxd	Failed to load skill metrics. Try refreshing the page.
CWxAZo6MyF	my-foundry-resource
CaejUJWm2D	Configured by your organization
CbPYtuP6+N	Your identity or account details
CcTtITT9H1	Reset {fieldTitle}
CipIsrvbtO	Configured inputs
CnTF2BoJLJ	+{count} more…
Cnm0QAkWnp	Queued
CoWpJWiYVJ	Instructions for Claude
CqbD7cgcay	Started from a <link>Security finding</link>
CqiCvCglOv	Failed to create service token. You can try again.
CtLYikSjMz	{count, plural, one {# can't be invited} other {# can't be invited}}
Ctsw12wjcJ	Permission for all connectors
Cu9LfmbCZK	Contact your Anthropic representative to procure additional seats, or assign them to a tier which has enough available seats.
CvfEKP/fiK	The request couldn't be completed — open Details for more.
CwADEGuH8H	Workspace restrictions
D+/iC3ajYb	Let’s connect the tools your admin approved.
D+i4rWGZl+	We put your account on hold because of unusual activity. We can't share the specifics—that would help bad actors get around the same checks—but the review is your chance to share context so a team member can review. This affects only your account, not your workspace or teammates.
D095BlwmjX	This is your local time
D0A8pf6o17	Use your own OAuth client
D4CuWTj4f5	Instructions can't be changed because one of your orgs has an encryption key configured.
D64VZJtPev	scanning on schedule
D7vaDuz9sI	Ask on the side without touching the main chat
DAuEfP9CaO	Daily usage: {capped} of {total, plural, one {# day} other {# days}} hit the limit
DC+lIM7C8k	Managed MCP servers
DDEsmngOcW	Configuring machine...
DDTISmk7iL	The previously selected server is no longer connected. Return to the Connection step and pick a server.
DH64q1WipL	Save {percentage}%
DHOAzXPuzl	Select all members
DHdnIxD7G9	Disable Claude.ai sign-in
DHrma67pss	Pin loaded compensation, coding hours, or lift to recompute against your own assumptions. These overrides shape the page only — they aren't saved.
DJmIHIHO1w	Enable now
DMt6zkcaX6	What if verification fails?
DSKxEcqnR4	Anthropic-hosted environments shown
DT+jM1tfQu	Showing first 100 of {count} rows
DUFsNTkAts	Quantity must be at least {totalMembers} (current total seats)
DVBoZOoX9C	Navigate to your project
DY0aw7svrD	Reject desktop extensions that are not signed by a trusted publisher.
DZwrOk9TjA	Approve this folder in the trust prompt to continue.
DaI9fcJPQS	{count} people from {domain} are using Claude
DgpHBoCXb3	If you just created this session from the Claude Code CLI, make sure you're signed in to the same Claude account here as in your terminal.
Dh6dn2tG7q	Sent to the email address on your account.
DkTE5kRzHp	Private Beta
Dn82ALx/+V	Live
DnXPcFgmqb	Helper script
Dnj3+Wz87Q	Annual value minus annual spend
Dp7S069Qyi	Open a folder and ask what it does
Dqf5XiV+yy	View detected-findings trend
DrFn3Jpzg4	This link contains embedded credentials, which may be an attempt to disguise its destination. You will actually be sent to:
DrfFB3GGAI	Not returned by discovery: {ids}
DyHEh6lC7R	idempotent
E+RqlmVfKb	No matching results.
E2xA5BCsl1	The OAuth client_id Anthropic should hold for this server.
E5IlMRKNe6	Sign in to your Anthropic account in the desktop app, then try again.
E6XV6UBsi4	macOS version not supported
E9ffNa95kd	The Claude Code binary is missing or damaged. Reinstall Claude Desktop to continue.
E9wxPzczmK	We'll email {email} after we review your account. Until then, you won't be able to use Claude, but you can come back to this page to check the status.
EATQrlttOw	Organization UUID
EBTFAIao5X	Enable Canvas instance
ECWb/hpBBY	good
ED8pZ3DB5G	Failed to revoke session token. You can try again.
EDAsx6Trra	We couldn't update your spend limit. Please try again.
EF/mc0e1fk	Windows registry file
EGOuVJosgc	Crash and performance reports to Anthropic.
EGoO2zD6ex	Failed to update default worker. You can try again.
EJRwP/GmWX	{amount} left from your gift
EKiPNBn+Zw	No repos match
EN3DA/4fyw	Open Claude Code
ENjsSOF4+m	This capability is currently turned off at the organization level. Once it's turned on in organization settings, this role will gain access.
EPJrd6MUhK	You've reached your weekly Sonnet limit. It resets {day} at {time}.
EThsmphP7E	Scope is required when Tenant ID is set.
EUwx3zKuAm	Inject credential
EYpAlZr0c0	Only users in "{orgName}" organization can access artifacts you share.
EaNkqMDiol	Unassigned members still use a paid seat. Assign a seat type so they can start using Claude.
EauHnet1z9	…and {n} more
EcAvDUnycA	Rename terminal
EcTe3kuYJI	Sign in to fetch this configuration.
Eg75dL9bMF	Some invites may need an admin to approve them.
EgFDCZEjpt	A new cloud session will be created from this conversation. Your branch is pushed and a transcript summary is sent so Claude can pick up where you left off. The local session stays on this device.
Ehsx5s/+/3	Add GitHub Enterprise
Ekag1cjwe2	Net gain ÷ annual spend
El8zCNCbMh	Cowork can be usage intensive. For the best experience, consider <link>upgrading</link>.
ElnDv39eAw	Cowork memory
EmFCpBoR7n	New terminal
En0xJdhLpd	My connector does not transfer money, cryptocurrency, or other financial assets on a user's behalf. (§4.A)
EoAEryzLKC	Claude understands your codebase and helps you build, debug, and ship faster. Get started in the desktop app.
EoyvrF04wv	Data-handling practices
ErCpG12/4F	(ephemeral)
EtWnHVE/at	Press enter to get started
EvDJ2Gc+tI	{amount} billed this month
EvwX+qKToR	server-name
ExD7p6m+tU	You selected Write only, but these tools are annotated as read-only: {tools}. Choose Read and write, or fix the tool annotations on your server.
EzXcdcs6cZ	{days, plural, one {# day} other {# days}} left in your Pro trial
F/6VqPBLCE	Server
F/wmsowKxn	No roles found for "{search}".
F1D+oS6ryj	Your team can start using Claude now. When you're ready for more, the Administrator Guide covers SCIM, audit logs, and org-wide rollout.
F2A3VUA+5z	Refund of {creditsAmount} for unused usage credits processed. Expect it in 3–10 business days.
F2NgzRnfNo	Period spend
F3+47beVFp	Configured model not available
F3Vucs2fRz	Get a daily PR digest, dependency check, or briefing
F4EQoxQeAV	Copy Metadata URL
F536zGs9Gw	Press enter after each email, paste a list, or drag in a CSV.
F7xHuBeE78	That email is already a member of this workspace.
F8qDe2egem	Payback
FF+UtbbxbH	You already have a nonprofit organization
FGl0QHAcOI	artifact
FHufq6FL5k	Can’t reach Claude. Check your connection and try again.
FIAOKqTF+W	/feedback isn''t available for this session. Try again from a connected session.
FIVoMsfQ2t	Claude Max is required to connect to Claude Code
FKK0SXWZ79	Your current seat doesn't include access to {featureName}.
FM97dDOF6k	Very
FOOQ+7iqkd	Filter group members
FP7nsXX0LJ	View seats
FPbbtXthCD	Open the browser DevTools Network tab and look for the /completion request for the full server response.
FQWAL855EP	Available with a Claude Max plan
FSyyISlTnS	Token cap window
FYjiyj920L	Failed to dismiss session. You can try again.
FaNPWTvFlX	Self-hosted runner pool
FcISn6aVjf	Gateway SSO IdP (OIDC)
FcnRll3gMl	Company email required
Fdln1zPmTV	Please review the <link>setup guide</link> when configuring groups.
FhGtLPegFw	Set by admin
FhYnU4Hl8w	Widget from {server}
FhzC4fZ6k5	Will become unavailable on {date}.
FiXNt10l2f	default
Fm3M+yFIbr	Finance
Fm5cFewoGE	One conversation from anywhere
FmKKxT5Cz6	Sync a plugin marketplace from a GitHub repository or git URL
FnkQmHtZvP	{count, plural, one {# deletion} other {# deletions}}
FpsLRqqDsF	Couldn''t send feedback. Please try again.
FsRuvVSbmk	Get usage credits
Fu64yNzLKm	You're currently in {orgName} — you can try switching to a different organization.
FuhC3TOQ32	Choose a task…
FvtFvrlt9S	Remove the highlighted addresses to continue.
FxkRR0MSCK	{count, plural, one {email ready to invite} other {emails ready to invite}}
G/QQvx0Tsd	Override the auto-discovered model list. First entry is the default.
G5skau4jJF	Dismiss error
G6KtJYtGMs	Are you sure you want to dismiss {count, plural, one {this limit increase request} other {all limit increase requests}}? This action cannot be undone.
G8T4pPDWCR	You're approaching your {limitName}. It resets at {resetTime} on {resetDay}. To keep working without interruption:
G8b9e/SQQ1	Repository not found. If it's private, GitHub access is required. <link>Connect GitHub</link>
G90shAPRdF	Sign up for a Pro subscription to connect your account, or use your API key.
GAIsvleakL	Anthropic team
GAeqmRP3Ha	Down {n} this period
GBVm0o0Ztk	{price} / mo × 12 months
GEKZb1pIje	Usage settings are only available on Max plans. Upgrade to view your usage.
GEYi/Ks4S2	When usage credits drop to:
GFhSwY2YQB	Skill
GGv1vjhiWU	Accepting this BAA binds your organization to the agreement. Enabling HIPAA compliance here only configures this Claude Enterprise organization. To enable HIPAA on Anthropic API or Claude Code with ZDR, contact your account team.
GJElfXQeyr	Access to Cowork, the desktop tool for anyone to automate knowledge work.
GJsF32tZ3H	What if I think this is a mistake?
GKnvD2WPfQ	More Opus with Max plans
GLbhLWOYr/	Automatically buy more usage credits when you're running low
GLw2yO7QXE	Failed to remove target. You can try again.
GRl1b24qKm	Forking project…
GUTix/pvpN	Couldn't stop the response — check your connection and try again.
GVO1SUl+Ej	Should have triggered thinking
GVTSDBkCfS	Your org is out of usage credits. Buy more to keep going now, or wait until {time} when your plan usage resets.
GW6Zyo3cO4	Small text
GWAB3T0SLp	Extra resource attributes to attach to every span/metric.
GX8+SGUXDd	read-only
GY/dOFclqe	2–3 concrete tasks a user would ask Claude to do with this connector. These appear on your directory listing and inform our review of whether the tool set matches the stated purpose.
GYOgJNzMZF	You're approaching your {limitName}. To keep working without interruption:
GYrwE5ehu1	Tool egress (Cowork sessions)
GabEjU04GT	Manage in Claude Security
GbqWxytTwO	GitHub connector
GcUjjOYvYK	Create skills
Gh3Od11jga	Claude Sales
GhgU+/h0oI	Paste a shared artifact link to add a copy to your Live artifacts.
Ghkq27jKoe	Ready to check out
GkKNiO4C8s	Need urgent help? <a>Contact support</a>
GlLIgmVzDF	Can manage
Gmhved2U/e	Queried analytics
GqELGE1iJK	Trend visualization coming soon.
GrnZDNX+lX	Saved.
GuZxY7ypCy	The runner process keeps running on your infrastructure but can no longer authenticate. Restart the runner process to re-register and reconnect.
GvbzPfNyKC	Enter your tenant's web hostname (acme.ghe.com), not the api. subdomain — the API endpoint is derived automatically.
Gxk66QH6Qu	Helper returned a valid credential
GzwfABozww	Bedrock base URL
H/XqXJZoja	Increase
H0aDFjOjWz	Your message was sent to Anthropic sales
H23fxGBYPm	Share details about how you were using your account on {date} to help us understand the full picture.
H5VNOxBx2O	Couldn't sign the authentication token. Try again.
H8Gxfl3nyg	View your Claude Design projects
HA0OcsX8yk	This scope is inactive because the API is disabled above
HA2UIzGsaT	Block nonessential services
HBcJPD/Lqp	Set a monthly limit for how much {target} can spend on usage credits.
HH/bLSGM/Y	Claude can choose to notify you about important updates from a Code session.
HIjCnaQF93	Helper cache TTL (sec)
HMTRokKp6O	The server this review was based on is no longer connected. Return to the Connection step and pick a server before submitting.
HO922/quOT	Copy details
HQcXlU4DEE	Editing files
HS1aFA7dJT	Somewhat
HSe6gAsXMQ	**The fastest path in.** No scheduling or back-and-forth — you'll have a quote and a plan by the end of this conversation.
HXHWJTRvEA	More download options
HaIgIJ2fmN	Are you sure you’d like to disable <b>{keyName}</b>?
HcBaNizX6R	Filter members
HdT+pDi01J	{count, number} added earlier
HfMQVThKYy	You've reached your usage limit. Try again after your limit resets.
HhwYFtK23H	Large text
Hi1k4p3uvv	If you make this project private, you won't be able to make it public again. Contact your admin to request the ability to share with your whole organization.
HldV0QAMie	Claude Code crashed
HnYfF2KC3h	Usage credit requests turned off
HoiRncoib+	Add target
Ht9KEfQ/49	Navigate time range
HuIg1+BeMP	Optional HTTPS URL. The banner text becomes a link when set.
Hua8CMkV3r	Your gift covers this plan through {paidThrough}. You won’t be charged until then.
HyV/bwvxfD	{count, plural, one {# comment thread} other {# comment threads}}
HzajXQuk6g	Skills you can add
I/BbnVE2jn	Create a new group
I20fJp5Utk	We couldn’t update your billing rate automatically. Try again or contact support.
I2z5s/mIOa	Next period
I9ZeR8iH95	Loading more projects…
I9iBj6bErP	Enables in-app AWS sign-in (no AWS CLI needed). Set with the three SSO fields below. Ignored when a bearer token or profile is set.
IAJaf2MM/F	Failed to add the allow rule. The credential was created but could not be rolled back — remove it from the Credentials tab if needed.
IDTNNuwLsj	Always required
IDvGk1lbwU	Failed to upload {names}. They won't be attached.
IErkkuIcBi	A group with this name already exists.
IHENczwSR2	https://config.example.com/claude-desktop
IIbhqlJNXJ	Delete failed. Please try again or contact support.
IL/+4WxJp6	Querying analytics
ILpwnjjKGP	Claude Code is built into this app
IMYTrpBkI6	Your organization's static service terms don't allow changing this setting.
IPiHjIy59N	No steps yet
ITXd/w9hjj	Connect to GitHub Enterprise
IVxsgx4aeC	Subscription downgrade canceled. Your subscription will now auto-renew.
IWWmERMxem	This artifact's folder is missing on disk. It may have been moved or deleted outside of Claude.
IXF/1bytWQ	Turn on notifications
IXvntQt2Zf	Claude's proposal included
IYeGbUTTdn	Claude needs permission to access your Documents folder to read this task.
IdHGKHb1Rb	Advanced: CEL condition
IdOylIUstO	This session's token is invalidated immediately. Any work in progress using it will fail on its next API call.
Idr1JpYIjt	Network egress controls do not apply to <a>web search</a>, web fetch, or MCP connectors. Web fetch runs through Anthropic servers and is limited to URLs found in the user prompt or web search results.
IdzXYb1nI4	Tell us more about what happened.
If8vD/U3nE	You're set up
IfXX/CT7v5	The server is public and doesn’t need sign-in.
IfbMvMjNsr	"{value}" in your Claude Code settings doesn't match an available model. Update the model setting; using {fallback} for now.
Im8aIqcax+	{credit} in usage credits, {percent}% off
ImaGMydTD2	(internal override) Looking at org {uuid}.
IoDlcdvSxd	Slug
IpddJZInwy	{total} / yr
Iq2YTCACUZ	Scroll to your message
IsJE3n7saV	Install the Claude GitHub App on repositories you want to scan.
IsgOISniNu	Your new limit is still below this month's usage. Try a higher amount or remove the limit.
IvU+8OWSJG	Apply nonprofit pricing
IwRaId+4hv	Taking screenshot
IxmIOr4U3i	{totalSteps, plural, one {# step} other {# steps}}
J+38wFg/kx	Sign-in failed:
J/9zW8VFme	Create long-lived tokens for applications calling the Claude Security API.
J/X6rJeKpd	User Management
J/Y8HJm8hj	Fetching config from this URL.
J15L81nD+Y	Back to previous question
J15VMWRvdi	Attach "{directory}" to this session?
J5PAXosO8h	Add from a repository
J7x7yfBqN/	Create a group
J8PEX2S4/1	Helper produced no output
JFYjwM0G9V	Latest published version
JGS86GqRG8	Your trial has been canceled. You’ll lose access on {cancelDate}.
JHJJAHtcx8	Save as draft
JJNV3wIw9A	No frames yet
JJVljnyegG	Local command (stdio)
JLVj/6T9+B	Security scans run on usage credits. Turn them on to get started.
JLrcr76/LZ	Test again
JNrKHzhNQC	Open the session to approve
JOFb1Tb7WF	This configuration is fetched from a bootstrap URL at launch. Fields it provides are locked below.
JOfHjTLD++	Rendering widget
JQs8c3pGcl	Gateway base URL
JTd8z+nZIg	configured in {section}
JVx4V7ROGz	Available for Pro plans
JaJU6bwpVB	Select at least {min}.
JbUrMoOK+Q	Get <fm>faster responses</fm> and <cr>automated code review</cr> when you buy usage credits. Usage credits also cover your team if they hit a plan limit.
Jfr7P/A89q	{m} mo
JgRwRuBWFK	OpenTelemetry resource attributes
JiaScEwUsv	Keep going
Jj5UsNkTxk	Locked by another program
JkYdw9Axes	Payment system failed to load
JkbN+kWYy3	Reading or writing the session folder failed. Check disk space and permissions, then try again.
Jnwtujdc+1	Faster responses, higher cost. Opus 4.6 and 4.7 only.
JoFFlh/6P/	Creative
JqV9XQ9o/J	No default
JqaU0qkb9c	Azure AI Foundry API key
JsOnt26X3G	Something went wrong. Try again, or run /mcp in the terminal for details.
Ju9RzSbqq5	No available self-hosted environments.
JuGCjB7IPE	Users pick from a fixed list of URLs (e.g. regional endpoints).
JuIByQC0hN	OAuth — Anthropic-hosted client metadata (CIMD)
JuPk3Hz8Vg	Spend limits view
K+HLu2negq	Failed to associate. You can try again.
K5RfQB1jdx	Usage credits are off
K5YEiW3NOB	See our <tos>Terms of Service</tos> and <aup>Usage Policy</aup> for what Claude can be used for.
K7gZgqTptz	Claude is at capacity right now. Try again in a moment.
K9q4XwLJd2	MCP servers
K9tTRBc5Ru	Couldn't verify the GitHub App is installed on this repository. Click to retry.
KAvrsFSPnq	Once instances are heartbeating, associate environments or runner pools to route their sessions through this proxy.
KCh2/LCBMZ	No data returned.
KCpkFKuCP4	About annotations
KEMbnwqu9G	Everything Claude Security needs to run.
KER1zNW5fX	alice@example.com
KIBB1zhazU	{count, plural, one {# question} other {# questions}} — open to answer
KL1VgUyLuG	Anyone with the link
KN7KCEgZIc	An egress allow rule will be created for {hostCount, plural, one {this host} other {these hosts}} so the credential can be used.
KOjHRBHy5e	Too many responses are running at once. You can stop a response or wait for one to finish, then try again.
KRFHugeoFG	Let others create their own project from a copy of this one. Only the latest captured version is shared.
KTSbDsrJwt	A Windows system library is missing. Reinstall Claude Desktop or repair the Visual C++ Redistributable.
KUFMiMvZMW	Revoke access
KUQsZcvjDh	Grants ability to read organization spend limits
KZbdbvaU9V	Plugins & skills
Kf24Vp3vyU	Project .mcp.json
Kgx5XeA8Qd	Anything authenticating with this token will lose access. This action cannot be undone.
KheppEGP0D	Only show your self-hosted runner pools and BYOC environments in the Claude Code worker picker.
KjD/3UVik3	Waiting for the server to confirm completion.
KrzoC2ZcIq	Running… {sec} s
Kt9cSdP+p/	Claude's got the basics
KtH0oCK2rM	Claude Code requires a newer version of macOS. Update macOS to continue.
KtZV9pULgo	Connection
KuMXETeZRT	What teams of your size and shape typically spend across our customer base.
Kx3gGtlJLI	Supported out of the box — no further action needed.
KxBn0Mphyz	Methods
KxgRloPVO6	Role name
KzoNMjYI07	Open task
L+geN0DrtO	Gateway sign-in (OIDC)
L05EkQSQ0J	{cause}. Retrying in {seconds}s (attempt {attempt} of {maxRetries})
L2pgmUxXgz	I'll keep these in mind when I respond.
L4dIq9u0LB	127.0.0.1
L4qZQU5ic/	Open guide
L8llNnDKU/	Code Review cost
LAKyj5vJUG	Your Microsoft Entra admin needs to grant consent for {serverName}.
LGWBpdPOR4	Your account will remain closed
LJpnUKX1YT	Re-enable key?
LMNHhIswuf	What reviewers check (review criteria)
LQOsG3yWng	Code permission requests
LSVniN62Ib	Session usage
LTRPpq9O6n	Re-enable
LTUSyVsrMA	If this is a mistake, you can verify your age now — it takes about a minute and your account is restored automatically.
LUVKDK49aS	None (passthrough)
LVgbWJo83E	Runs tools inside an isolated VM instead of the host. Stronger isolation; slower file access and no host-process tools.
LYW270E/cl	Per seat / month if billed annually. {standardMonthlyPrice}/seat{taxSuffix} and {premiumMonthlyPrice}/seat{taxSuffix} if billed monthly. Minimum {minimumSeatCount, plural, one {# seat} other {# seats}}.
LceR0Q2gvp	No agent proxies yet
LiIIR5Z/yr	This artifact couldn't be loaded. Try again in a moment.
LjOcsYKzL1	Denied (401/403)
Lm201lTPzE	You will be able to change this setting starting {date}.
LnITqSG0Ju	{count, plural, one {# setting} other {# settings}}
Lpq+8Nau5X	Hosts your network firewall must allow, derived from your current settings. This list is read-only and updates as you make changes. Traffic is HTTPS on port 443 unless a custom port is specified (OTLP, gateway, or MCP server URLs).
LqoebBwYLp	Supported. Anyone can connect without credentials.
Ltyy58/WyD	All users connect to the URL above.
Lv1zlpRUzM	Your seat type doesn't include usage credits. Manage spend limit to keep going now.
LvjzymLIWo	Sharing data from Labs features helps Anthropic improve these products. You can change this anytime.
M/hk1LFpsi	No valid email addresses were found in that CSV file.
M0ukgUOjs6	None set.
M1ekod7Ohm	AWS SSO start URL
M3grSEetWi	“{groupName}” will be removed. Sessions in this group will move to Ungrouped.
M5teCgPUZY	Register a proxy fleet. You'll get a one-time secret to start the proxy with — every replica shares the same registration.
M6v83AYyhr	For MCP Apps with a visual UI, you'll be able to upload carousel images that showcase features in-app on your directory page.
M7HJaTn8JL	Open annotated image: {label}
MB3WNtF4pk	Add role
MDU8QJlXdN	Features that are not Eligible Services will be disabled. Administrators may re-enable certain features not covered by the BAA.
MEMmccJJ44	This capability is enabled but its required capability Code Execution & File Creation is not.
MGTW+MpZ7U	This role
MHBNNaX0vZ	Dream
MHF4zVWFBC	Based on what you've described, a smaller plan is the better fit.
MHiHyxBcob	MANAGED LOCAL
MIHgZIoF4r	Describe what was happening on {date}. Any extra context we should know?
MLsBHfP3T5	Message from teammate {name}
MNy7T+ep8v	⌘ Enter to continue
MPdK0gXvRA	Bootstrap config URL
MQ0s+vubuA	Claude for Enterprise {tier}
MQbmj7g3BG	Operations
MSA5ERgzNZ	1-token completion in {ms} ms{model, select, none {} other { ({modelCode})}}{sourceLabel, select, undefined {} other { · via {sourceLabel}}}
MSCljlKMFZ	Sign up for a Max subscription to connect your account, or use your API key.
MTCozhhiyd	Claude Max or Team is required to connect to Claude Code
MV/dAsb5T8	<link>Upgrade</link> to use Claude in {suiteName}
MW4a5sB6yS	Admin policy applied to plugin-delivered MCP servers.
MYYAX2WEkL	What Anthropic may receive (configured by your organization)
MasEfgJI0V	Plain JSON
Mfl1eCOlkX	This task will run on your computer.
MfrNN963cy	Claude is working in {count, plural, one {# session} other {# sessions}}. Relaunching now will interrupt that work.
Mi7VR7P+5/	Usage settings are only available on Pro plans. Upgrade to view your usage.
MicyCPHGJb	Anthropic API key
Ml1+Fc32zR	{count, plural, one {# is} other {# are}} already in this workspace.
MloGeTBKJl	Claude in {suiteName} is available on Pro, Team, and Enterprise plans
Mp/WrRk9SN	A role with this name already exists.
Mq8VsmNihX	Skill metrics
MuwRgZqh4O	Changes here affect how users find your server. The connector URL and auth configuration are locked — contact {email} to change them.
MyIJbrHxpk	Contents
N0k1M621DW	Ability to share skills with specific people in your organization. Revoking this capability does not revoke previously shared skills.
N4dGyyihU2	Select an environment
N5b/n+Jq/c	Include screenshot
N5hOiMqiZn	Auto-register (dynamic client registration)
N60ejKRcbM	Copy {value}
N99WPD4fbO	We'll email you once we've reached a decision. Review decisions are final.
NA4SBfPMeA	Gateway API key
NHT3tsgO9s	Groups are a collection of members that can share roles.
NHvtv6jJcx	https://REGION-aiplatform-ENDPOINT_ID.p.googleapis.com
NIp274ENLM	Manage usage credits
NMKFYByQzc	Push notification
NOVKLgrAVh	Your group's usage limit is set to $0. Manage spend limit to keep going now.
NSX5q967/k	Prompt preview
NUASktdfTk	https://login.microsoftonline.com/TENANT/v2.0
NW2DOCqE8/	This rule injects a credential via {handler}; that injection type can't be edited here.
NaorlXses7	Your new payment method may decline {currency} charges. If a renewal payment fails, your subscription will switch to {fallback}.
NjiVxTgINb	Search or type owner/repo
Njl7Bqim7I	You can't spend more than your credit balance.
NkHFa9G1Qp	Authentication failed — sign in again to continue.
NkIrMvD+5k	Test script
NkMAbPAtIN	Tags telemetry events with your organization's UUID so Anthropic support can find them. Not used for auth.
Nldb9z0tsa	You haven't used Claude Design yet
Nmx8aeyXHP	Failed to delete access key.
NnbFIgvVDy	View or manage plans, invoices, payment methods, usage & cost reports, spend limits, and overage approvals.
NoWHh46yvP	Upload carousel images
Nq9lushSgw	This server exposes no tools.
NvV/DDLkPI	Sign up for a Max or Team subscription to connect your account, or use your API key.
Nvto3gzetM	Auto-review
NwUAfHUQN1	Or reply directly…
NxWkpRIOP4	Folder not allowed by your organization
NxzeNU+cfW	Dead
Ny0rQwG3Ce	Instance
Nz51q0FhNV	*<link>Usage limits apply.</link>
O+oyTLAiQq	Download guide
O07vpSxT5L	Access to fast mode in Claude Code. Fast mode has the same intelligence with significantly faster output. It uses more credits and is billed via usage credits.
O0zxaLsWs9	User-added MCP (Python runtime)
O1hruShcEs	Organization-wide limits are managed in <link>connector settings</link>.
O3JKmenvgB	By clicking ‘Turn on’, you agree to turn on usage credits as defined in our <link>Help Center article</link>.
O7WR5z2gPu	Months until value covers spend
OAqeZmgo4V	Fast mode is only available on Opus 4.6 and 4.7
OBB+5a51S+	This skill file isn't a valid archive. Ask Claude to repackage it as a zip.
ODoMZOvv0+	Security scan emails
OHkPdKRZWH	Take Claude everywhere
OKZQJjK0xQ	Existing API keys can now use compliance scopes
OKdi45oPS7	That URL is missing an authorization code. Copy the full address the browser was redirected to.
OL7Tgn9cjy	History {index}/{total}
ON+LmRDPBq	<top>/ month</top><bot>billed annually{taxSuffix}</bot>
OPzRDblZkI	Loaded annual compensation per engineer in USD
ORcS+jTUP7	Testing…
OSbNg+1qqF	Good response
OTO45213qY	Updated dashboard
OTZfypjWAC	You've reached your session limit. It resets at {time}.
OTuMWTHY/9	Registration actions
OV5pIaqT7N	Failed to create the registration. Check the URL and CA cert and try again.
OWjLMbTp3z	Switch to Claude Code and let Claude work directly in your repo, running and testing as it goes.
OX1+jdVwLL	Block auto-updates
OYOu0U2iok	Non-consensual intimate imagery
OaOwDo7XQp	Usage credits paused. You can increase your spending limit or wait for the next billing cycle.
OafNfUufYW	**Free to talk.** This conversation doesn't count against your usage.
OcHw9o00qo	Go to routine
OcN2GyDiz5	Session not found on disk
OeWgRJWrgU	You're out of extra usage. Buy more to keep going now, or wait until {day} at {time} when your plan usage resets.
Of+FSNcEp2	Increase usage credit limit for {name}
OgGFDhVMzh	Dynamic Client Registration (DCR). Works with most servers.
OhXU1lP/03	Available (will boot)
OhcSptaq97	Keys are owned by the organization and remain active even after the creator is removed.
OndUIFOOc4	OAuth — dynamic client registration (DCR)
OnpAzIS6lb	HTTP {status}
Otoh797VHW	Claude Security runs on the same sandboxed environments as Claude Code web sessions.
OuIbXfafbi	If this is a mistake, you can verify your age — check your email for a verification link, or <a>contact support</a>.
Ov1Ty3UUIN	Only {domainList} addresses can join this workspace.
OyCsGh4JcJ	Upgrade to Pro or Max to use {featureName} on desktop.
OzIqxn5jJT	Message sent
P+/GQ+gmAe	Callback host
P+XihqpFRg	Stale
P2Y0Bawbx5	Scheduled and on-demand scans are managed in the Claude Security workspace.
P2dcA8Q5QF	Let Claude edit files, run commands, and ship changes from the desktop app, your terminal, or your IDE.
P4YVhxeN9c	session limit
P7PLVj/gW7	Notifications
PBIKPEv1ir	Enter {field} to test the connection
PD+fH35/sZ	Define permissions, allowed directories and more for your entire org. This will override user and project settings and applies to Claude Code in the CLI, IDE, and Desktop app. <link>Learn more</link>
PDQUOV3Ovx	Spend information
PEiYctxogE	For this task, Claude will work and use connectors without pausing for approval. <link>See safe use tips</link>
PFnaHeIApM	usage credits
PHj+a3XtC7	Group spend limit info
PJhe0HJqkm	Token URL
PNFwYup600	Auto-updates
PO+0DdDIId	Background tasks
POk4kFsSdO	This is a GitHub-managed host (*.ghe.com) — port, custom CA certificate, and read replicas don't apply.
PTKusPVImM	You have no seats available to assign. You can <link>purchase additional seats</link> to add new members.
PUNLFLsK2n	Available with a Claude Pro plan
PUgWgRCglo	Coding hours per week
PW+sL4vFvs	N/A
Pc8UzwjRqD	Nonessential services
