+3syH4VjJv	Career changer
nZg0AjOHKf	Turn on Claude Code on the web to use Claude Security
ndN6U4wZhC	Historian
nhz8zOwwA2	Let members scan repositories where the Claude GitHub App is installed.
nkNy+5FSdw	Click to preview
nlEoJqMk8c	Bartender
nvjLi/o8n8	Bookkeeper
oBXvAZERRL	Revoke {keyName}?
oCWGw0AsBF	Where do I find this?
oL+wtCS02x	Media professional
oReUAT0vwJ	Need a human?
oaOr8QROkU	All methods
of8LDDZLQu	Lecturer
oi9y4wTcfO	Strategist
omfvHBKSH6	Cashier
on+KE6TLP7	Product marketing manager
oobsf8x14s	Realtor
op77VwdRsn	Emergency dispatcher
oxF/dRg2xa	Physician assistant
p0a72nIBLb	Interface font
p0yHjO3ccu	Homemaker
p26KNN/HQx	Checking setup…
pKkbyZ3Dgu	Athlete
pR4kSmcUEa	Communications manager
pYxOj60gd4	Security analyst
pao2bCavYH	Are you sure you want to dismiss this usage credit request from {name}? This action cannot be undone.
peqQveKcHM	Speechwriter
pf7UEyrvB8	Microphone
pntDfnXoDX	Caregiver
pt8fSiDYwW	Pastor
ptUqmri1/B	IT specialist
puXmkD6niN	Lobbyist
py0OV1yQ1T	Systems engineer
q+R/OmVFZj	Clear telemetry export settings?
q/ksnYthHI	Manage repositories
q2bjjQgSUi	Account manager
q3e4cfMU7E	Bearer token
q9o2lizqGj	DevOps engineer
qFpwnvR1QT	Professor
qMwuBittYY	Religious leader
qP4wm8bImt	Treasury analyst
qRYSAivQuA	To make changes to your Canvas LTI configuration, contact your Anthropic representative or reach out to support.
qReGQG18aZ	Physical therapist
qXhamskOhU	Microsoft Excel specialist
qa2MaUihIr	Quality manager
qnzeCjuRKT	Revoke {name}?
qxUxifugoS	Quality inspector
r9ZE86I+AC	Nonprofit director
rOhNnIgaN0	Estimated usage per seat<sup>*</sup>
rWmiDOvhwM	Loop: {description}
rYvvcewdQB	Actor
rc5qaoE+RS	Designer
rcZ8QdQjDl	Archive session with uncommitted changes?
rqJU4EMM7G	Landscaper
rsXLcZHlrD	Stage manager
rt1H01paOR	Claude Code (CLI, Desktop, IDE)
rtRJVSpngy	Plumber
ruHQE62ynl	Military officer
rxKQVd2wMs	What can I still do with my account?
ryHIzs+UIE	Are you sure you want to delete the group "{groupName}"? This action cannot be undone.
s2fZojW7g2	Bank teller
s6DBcSJz9Y	Compensation analyst
s6KUOaELV5	Platform engineer
sLFV4URXFG	Could not read this file. It may be corrupted or in an unexpected format.
security/billing/cta_adjust_service_limit	Adjust spend limit
slXOXs4bQM	Driver
sv/PbdJxx1	this project's settings
t8GDcBqlx6	Board member
t9YGbLtEUC	Entrepreneur
tO7KIDqgLQ	What's on your plate today?
tQ1QpNqjb9	Midwife
tXNvYDFhjq	Civil servant
taIE1h8043	Politician
tbWSCmaOBg	Med
tfPnUTtdI/	Director
tglNOo/DKz	Grant writer
tsM+/5lCXz	CTO
u0BIwSfcLj	Managing director
u0qI/yUPu5	Insurance agent
u1rRJ74R0f	Legal assistant
u6dslcy9Ib	Video producer
uHuG3QulGO	System administrator
uOr+P/nXFU	Adding, editing, enabling, or disabling a Canvas instance is currently handled by Anthropic on your behalf.
uTSSg3isX7	Access token
uWa/DW4sTS	Economist
ubx2Y5m1N0	You've created custom roles, but no members are governed by them yet. A member follows a custom role only after their role type is set to <b>Custom roles</b> on the Members page. Custom roles cannot grant features disabled at the organization level. Learn more about <link>roles and permissions</link>. Please review the <setupGuideLink>setup guide</setupGuideLink> when configuring custom roles.
ucj6WpdJyt	Financial advisor
uji2rAyFXB	Group Policy template (ADMX)
upSJFXlKd2	Housekeeper
uvhT6bpyf0	{count, plural, one {Reading # file...} other {Reading # files...}}
v8WidgsvWJ	{count, plural, one {Add # member} other {Add # members}}
vCxbpHgQva	Why are you ending your trial? (optional)
vJI7emGfDw	How urgent is this? (optional)
vNKlB5TMdW	Translator
vRCzG2SouF	Art director
vYxAJcTGXx	Event manager
vc044PVYWT	Are you sure you want to dismiss {count, plural, one {this request} other {all # requests}} for {connectorName}? This action cannot be undone.
vebC0YSl3f	Some settings in your administrator's configuration are deprecated or could cause issues. See Details, or share the report with your IT team.
vlBOSSVWuK	Streamer
vow8APvxf4	Archaeologist
vu7IYZlGWw	More add options
vzrsBJrs+V	Fashion designer
w1A4zeclNH	Size of the conversation transcript text.
wIsS0B2s6J	Full-stack developer
wVR6ApzMXg	Dietitian
wWy01tLPKj	Default from {source}
wdG5bQSKxc	Bus driver
wetYM3jwzA	Claude Security needs Chat + Claude Code seats. Change your seat types to turn it on.
wqUIs/2OD5	Are you sure you want to dismiss this limit increase request from {name}? This action cannot be undone.
wxJ3vz3net	Engineer
x0iyV36/1i	View by project
x2vzcMPxee	Certified public accountant
x4rtCG7QSi	EMT
xF/aAgrzNt	Mathematician
xJhxYMg+Cl	claude://cowork/shared-artifact?uuid=…
xQw7b9ic7S	Talent agent
xR04uJHex9	Creative professional
xXr+rGIv+A	Selects the credential source. When set, only that source is used (no fallback).
xab7HXln1J	Sports professional
xe/PXEVhGz	Special education teacher
xgJaV699xi	Medical biller
xkd3rS8R+W	Academic
xqDPjoyaj1	Military
xtIj9gn62S	Flight attendant
xwUzgHTsDl	Synced · {count, plural, one {# issue} other {# issues}}
xy65khgd5W	Will my billing be affected?
y1PTfGjI+s	Portfolio manager
yCQyxLZXzp	The Claude GitHub App is no longer installed on this repository. <link>Install the GitHub App</link> and try again.
yDjXz1VVzW	Disable key?
yJpnrqUbXj	Trainer
yQ3ro+IJcG	Hobbyist
yYm4B6fPE9	Esthetician
ybA8wSOtiP	Sustainability specialist
ypzSrbPbG/	How deeply Claude thinks
z09GNnuCQ+	You'll keep access until {date}, and you won't be charged.
z7l59l6Xkr	Surgeon
zGOzqI5f3D	{count, plural, one {Running # command...} other {Running # commands...}}
zH5HFp3/hv	Unable to read file from remote session.
zJTA0ppA2e	Social media manager
zJeLQ00e6r	To enforce member permissions with custom roles, go to the <link>Members</link> page and change the member's role type to <b>Custom roles</b>. Custom roles cannot grant features disabled at the organization level. Learn more about <defaultLink>roles and permissions</defaultLink>. Please review the <setupGuideLink>setup guide</setupGuideLink> when configuring custom roles.
zT/ieMTOnn	Claude Security stopped running
zToNS1DV/c	Account executive
zeLZjmyUCu	Web developer
zikSsHdNuJ	Business development
ziqM1aiIgP	Couldn't turn on Claude Code on the web. Try again.
zs2h0DLlYu	Email marketing specialist
